id,URL,headline,author,date
0,https://www.theverge.com/2022/9/7/23340982/netflix-teletubbies-tituss-burgess,Netflix is resurrecting the Teletubbies with a new series,Charles Pulliam-Moore,2022-09-07
1,https://www.theverge.com/2022/9/7/23340818/youtube-tv-surround-sound-5-1-apple-tv-amazon-fire-tv,YouTube TV now has surround sound on Apple TV and Fire TV,Umar Shakir,2022-09-07
2,https://www.theverge.com/2022/9/7/23340732/apple-event-heat-wave-california-power-grid-iphone,The Apple event is going to be a hot one ,Nicole Wetsman,2022-09-07
3,https://www.theverge.com/2022/9/7/23340705/eero-wi-fi-router-when-to-upgrade,"PSA: If you have an original Eero router, it’s time to upgrade",Jennifer Pattison Tuohy,2022-09-07
4,https://www.theverge.com/2022/9/6/23338920/apple-event-invitation-hints-history-deciphered,Decoding the secrets inside Apple’s event invitations,Ethan Morgan, 
5,https://www.theverge.com/23339801/splatoon-3-review-nintendo-switch,Splatoon remains the most playful and stylish shooter around in third outing,Andrew Webster,2022-09-07
6,https://www.theverge.com/2022/9/7/23340762/pokemon-scarlet-violet-nintendo-switch-oled-special-edition-trailer,Nintendo announces a new Pokémon Scarlet and Violet-flavored Switch OLED ,Ash Parrish,2022-09-07
7,https://www.theverge.com/2022/9/7/23340636/microsoft-xbox-elite-2-controllers-design-lab-launch,Xbox Elite 2 controllers will be customizable in the Xbox Design Lab later this year,Tom Warren,2022-09-07
8,https://www.theverge.com/2022/9/7/23339673/musk-twitter-trial-delay-request-denied-whistleblower-claims-granted,Judge denies Elon Musk’s attempt to delay Twitter trial,Adi Robertson,2022-09-07
9,https://www.theverge.com/2022/9/7/23340725/tesla-model-y-five-star-safety-euro-ncap,Tesla Model Y earns five-star rating from European safety agency,Andrew J. Hawkins,2022-09-07
10,https://www.theverge.com/good-deals/2022/9/7/23339081/asus-chromebook-cm3-hulu-macbook-air-m2-anker-charger-deal-sale,Asus’ excellent Chromebook Detachable CM3 has returned to its lowest price to date,Sheena Vasani,2022-09-07
11,https://www.voxmedia.com/careers,"We're building great things, and we need your talent.", , 
12,https://www.theverge.com/2022/9/7/23340667/destiny-2-eruption-iron-banner-mode-explained-review,Destiny 2’s new Eruption mode is the best thing to happen to its PvP in years,Tom Warren,2022-09-07
13,https://www.theverge.com/2022/9/7/23340150/ring-end-to-end-encryption-video-doorbell-security-camera-battery,Ring finally brings end-to-end encryption to its flagship video doorbells ,Jennifer Pattison Tuohy,2022-09-07
14,https://www.theverge.com/2022/9/7/23340628/android-13-new-business-features-work-profiles-personal-data,Android 13 is making it easier to keep work and personal data separate,Jess Weatherbed,2022-09-07
15,https://www.theverge.com/2022/9/7/23340619/sony-ps5-1440p-update-social-ux-improvements-available,"New PS5 update rolling out with 1440p support, gamelists, and UX improvements",Tom Warren,2022-09-07
16,https://www.theverge.com/2022/9/6/23339303/pixel-7-pro-pixel-watch-made-by-google-hardware-event-october-6th,"Google announces October 6th event to launch the Pixel Watch, Pixel 7, and new Nest devices",Mitchell Clark,2022-09-07
17,https://www.theverge.com/2022/9/7/23339954/google-maps-eco-friendly-routing-expanding-europe-fuel-types,"Google Maps can now tune its eco-friendly navigation for gas, diesel, and electrified vehicles",Mitchell Clark, 
